DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200105599,01/24/2020 12:00:00 AM,01/23/2020 12:00:00 AM,2050,1,Central,161,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 1813,48,M,H,122,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,PASADENA                     FY,8TH                          ST,34.0483,-118.2631
200105601,01/23/2020 12:00:00 AM,01/23/2020 12:00:00 AM,2030,1,Central,111,2,625,OTHER ASSAULT,0356 2004 1266 1822,35,M,H,109,PARK/PLAYGROUND,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,625,,,,100    PASEO DE LA PLAZA,,34.0615,-118.2412
200105602,01/24/2020 12:00:00 AM,01/24/2020 12:00:00 AM,100,1,Central,166,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1218 1414 2000 1814,53,F,B,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,600 S  SAN PEDRO                    ST,,34.0421,-118.2469
200105604,01/24/2020 12:00:00 AM,01/24/2020 12:00:00 AM,630,1,Central,166,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0377 1822 1218 2032 0344,32,M,B,517,MISSIONS/SHELTERS,,,IC,Invest Cont,440,,,,600 S  SAN PEDRO                    ST,,34.0421,-118.2469
200609150,04/16/2020 12:00:00 AM,04/16/2020 12:00:00 AM,1900,6,Hollywood,648,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1822,26,F,O,104,DRIVEWAY,,,IC,Invest Cont,420,,,,1500 N  SAINT ANDREWS                PL,,34.0981,-118.3114
211415778,07/29/2021 12:00:00 AM,08/02/2020 12:00:00 AM,209,14,Pacific,1444,1,121,"RAPE, FORCIBLE",0527 0913 0940 0509 2002 0540 0513 0516 0551 1814,20,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,3200    CARTER                       AV,,33.9868,-118.4451
200105608,01/24/2020 12:00:00 AM,01/24/2020 12:00:00 AM,845,1,Central,142,2,860,BATTERY WITH SEXUAL CONTACT,1822 0522 0305 0400 0448 1402 1414,34,F,H,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,860,,,,OLIVE,2ND                          ST,34.0519,-118.2531
200105609,01/24/2020 12:00:00 AM,01/24/2020 12:00:00 AM,845,1,Central,142,2,860,BATTERY WITH SEXUAL CONTACT,1402 1414 0400 0522 1822 0305 0448,39,F,H,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,860,,,,OLIVE,2ND                          ST,34.0519,-118.2531
200504370,01/09/2020 12:00:00 AM,01/08/2020 12:00:00 AM,2000,5,Harbor,504,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1600 W  204TH                        ST,,33.8457,-118.3066
200105905,01/28/2020 12:00:00 AM,01/28/2020 12:00:00 AM,810,1,Central,154,1,761,BRANDISH WEAPON,0334 1402 2004 2003 1822,0,M,H,101,STREET,308.0,STICK,IC,Invest Cont,761,998.0,,,100 E  6TH                          ST,,34.046,-118.2493
200105610,01/24/2020 12:00:00 AM,01/24/2020 12:00:00 AM,800,1,Central,166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0416 1218 0421 0319,55,M,W,101,STREET,207.0,OTHER KNIFE,IC,Invest Cont,230,,,,SAN JULIAN,6TH                          ST,34.0412,-118.2474
200105612,01/24/2020 12:00:00 AM,01/24/2020 12:00:00 AM,1015,1,Central,155,2,624,BATTERY - SIMPLE ASSAULT,0305 0416 1822 1218,49,M,A,101,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,5TH,WALL,34.0449,-118.2458
200105619,01/24/2020 12:00:00 AM,01/24/2020 12:00:00 AM,1300,1,Central,157,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0910 2004 1307,49,M,W,101,STREET,,,IC,Invest Cont,745,,,,500    CROCKER                      ST,,34.0435,-118.2427
210917704,12/17/2021 12:00:00 AM,12/25/2020 12:00:00 AM,1200,9,Van Nuys,939,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 2041,23,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956,,,,6000    FULTON                       AV,,34.1794,-118.4225
200105626,01/24/2020 12:00:00 AM,01/17/2020 12:00:00 AM,1900,1,Central,135,1,351,PURSE SNATCHING,0377 1822 0304 0346,26,F,O,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,351,,,,3RD,LOS ANGELES,34.0485,-118.2447
200105628,01/24/2020 12:00:00 AM,01/05/2020 12:00:00 AM,2000,1,Central,155,1,220,ATTEMPTED ROBBERY,1202 1822 1218 1238 0337 0416 0448,85,M,H,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220,,,,6TH,WALL,34.0435,-118.2471
200105630,01/24/2020 12:00:00 AM,01/24/2020 12:00:00 AM,1455,1,Central,122,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1310 1309 0329 0919 0447,49,F,W,122,"VEHICLE, PASSENGER/TRUCK",212.0,BOTTLE,IC,Invest Cont,745,,,,100 N  HILL                         ST,,34.0572,-118.2481
200408039,04/17/2020 12:00:00 AM,04/17/2020 12:00:00 AM,1,4,Hollenbeck,417,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0913 1243 1814 0447,37,M,H,504,OTHER RESIDENCE,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,236,,,,4300    RAYNOL                       ST,,34.0832,-118.1933
200105632,01/24/2020 12:00:00 AM,01/24/2020 12:00:00 AM,805,1,Central,143,2,860,BATTERY WITH SEXUAL CONTACT,1822 0448 0522,59,F,H,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,3RD,HILL,34.0488,-118.25
211716180,12/15/2021 12:00:00 AM,07/15/2020 12:00:00 AM,1200,17,Devonshire,1797,1,510,VEHICLE - STOLEN,,0,,,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,510,,,,16400    RAYEN                        ST,,34.2321,-118.4906
200105634,01/24/2020 12:00:00 AM,01/24/2020 12:00:00 AM,1500,1,Central,139,1,480,BIKE - STOLEN,1218 1822 0344 0397,57,F,O,102,SIDEWALK,,,IC,Invest Cont,480,,,,800 E  4TH                          PL,,34.0454,-118.2333
200105635,01/24/2020 12:00:00 AM,01/24/2020 12:00:00 AM,900,1,Central,156,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1218 0344,81,F,H,102,SIDEWALK,,,IC,Invest Cont,440,,,,6TH,SAN PEDRO,34.0423,-118.2452
200105637,01/24/2020 12:00:00 AM,01/23/2020 12:00:00 AM,1145,1,Central,158,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 1218 0377 0913 1817 0344,28,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,440,,,,500    CERES                        AV,,34.0416,-118.2398
212018351,12/15/2021 12:00:00 AM,11/01/2020 12:00:00 AM,1400,20,Olympic,2036,1,310,BURGLARY,1822 0397 0344,41,F,B,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,600 S  BERENDO                      ST,,34.0608,-118.2941
200917497,11/20/2020 12:00:00 AM,11/20/2020 12:00:00 AM,1130,9,Van Nuys,966,2,624,BATTERY - SIMPLE ASSAULT,0446 0416,33,F,W,220,NAIL SALON,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,13300    RIVERSIDE                    DR,,34.1576,-118.4231
200308673,03/17/2020 12:00:00 AM,03/17/2020 12:00:00 AM,1200,3,Southwest,321,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 0104 0342,19,X,X,404,DEPARTMENT STORE,,,AA,Adult Arrest,343,,,,3500 S  LA CIENEGA                   BL,,34.0237,-118.3722
201011914,08/10/2020 12:00:00 AM,08/02/2020 12:00:00 AM,1005,10,West Valley,1001,1,330,BURGLARY FROM VEHICLE,1822 0344 1300,0,M,W,101,STREET,,,IC,Invest Cont,330,,,,7900    BOTHWELL                     RD,,34.2141,-118.5612
200105655,01/24/2020 12:00:00 AM,01/22/2020 12:00:00 AM,1900,1,Central,156,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,37,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740,,,,500    SAN JULIAN                   ST,,34.0446,-118.245
200105656,01/24/2020 12:00:00 AM,01/23/2020 12:00:00 AM,1610,1,Central,161,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 2032 0344,22,M,A,717,HEALTH SPA/GYM,,,IC,Invest Cont,341,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
200105657,01/24/2020 12:00:00 AM,01/23/2020 12:00:00 AM,1900,1,Central,182,1,330,BURGLARY FROM VEHICLE,0344 0329 1609 1307 1601 0354,49,M,A,108,PARKING LOT,,,IC,Invest Cont,330,,,,900 S  FLOWER                       ST,,34.0458,-118.2614
200105661,01/24/2020 12:00:00 AM,01/24/2020 12:00:00 AM,1845,1,Central,134,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 1414 2032,49,M,W,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,341,,,,300 S  BROADWAY,,34.051,-118.248
200105662,01/24/2020 12:00:00 AM,01/24/2020 12:00:00 AM,1745,1,Central,138,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 2004 0411 1822 0906 2033 1206,19,M,B,102,SIDEWALK,207.0,OTHER KNIFE,IC,Invest Cont,230,,,,BOYD,WALL,34.0472,-118.2442
200105663,01/25/2020 12:00:00 AM,01/24/2020 12:00:00 AM,2215,1,Central,191,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 1822 0329 1266,23,F,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,FIGUEROA,VENICE,34.0374,-118.2701
200105664,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,300,1,Central,195,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 0913,35,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,1800 S  MAIN                         ST,,34.0317,-118.2641
200105665,01/25/2020 12:00:00 AM,01/24/2020 12:00:00 AM,2130,1,Central,182,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 0329 1822,32,F,B,101,STREET,,,IC,Invest Cont,330,,,,11TH,HOPE,34.0423,-118.2631
200404158,01/05/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2200,4,Hollenbeck,421,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 S  AVENUE 20,,34.0726,-118.2201
200105666,01/24/2020 12:00:00 AM,01/24/2020 12:00:00 AM,1400,1,Central,119,1,480,BIKE - STOLEN,0344 0910 1822 2032,32,M,A,834,LA UNION STATION (NOT LINE SPECIFIC),,,IC,Invest Cont,480,,,,800 N  ALAMEDA                      ST,,34.0563,-118.2374
201411760,05/27/2020 12:00:00 AM,05/26/2020 12:00:00 AM,2100,14,Pacific,1453,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0321 0344 1300,50,M,W,104,DRIVEWAY,,,IC,Invest Cont,331,,,,4000    TIVOLI                       AV,,33.9925,-118.4402
200504577,01/14/2020 12:00:00 AM,01/13/2020 12:00:00 AM,2200,5,Harbor,504,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1300 W  211TH                        ST,,33.838,-118.2996
200613614,08/06/2020 12:00:00 AM,08/06/2020 12:00:00 AM,2300,6,Hollywood,647,2,624,BATTERY - SIMPLE ASSAULT,0416 0444,19,F,B,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1500    VINE                         ST,,34.098,-118.3266
200105669,01/25/2020 12:00:00 AM,01/24/2020 12:00:00 AM,2100,1,Central,158,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 0329 1822,38,F,B,101,STREET,,,IC,Invest Cont,330,,,,ALAMEDA,PALMETTO,34.0399,-118.2383
200105670,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,200,1,Central,153,1,761,BRANDISH WEAPON,0334 1822 0429 2029 0344,23,F,B,102,SIDEWALK,207.0,OTHER KNIFE,IC,Invest Cont,761,,,,6TH,BROADWAY,34.047,-118.2526
200105671,01/24/2020 12:00:00 AM,01/24/2020 12:00:00 AM,1,1,Central,138,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0417 1501 1218 2033 1822,56,F,B,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,821,,,,300 S  ALAMEDA                      ST,,34.0468,-118.2415
200105672,01/25/2020 12:00:00 AM,01/24/2020 12:00:00 AM,2000,1,Central,171,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,800 W  OLYMPIC                      BL,,34.045,-118.264
200105674,01/25/2020 12:00:00 AM,01/24/2020 12:00:00 AM,700,1,Central,159,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0947 0344 1218 1822,35,M,B,108,PARKING LOT,,,IC,Invest Cont,341,,,,600 S  ALAMEDA                      ST,,34.0382,-118.2384
200105675,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,445,1,Central,195,1,210,ROBBERY,0344 0400 1822 2004 0910,36,M,H,124,BUS STOP,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,VENICE,BROADWAY,34.0347,-118.2645
200105685,01/25/2020 12:00:00 AM,01/24/2020 12:00:00 AM,2100,1,Central,159,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 0329 1822 0377,32,M,W,101,STREET,,,IC,Invest Cont,330,,,,600    MILL                         ST,,34.0382,-118.2345
200105686,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,1200,1,Central,155,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1218 0344 1822,48,M,B,102,SIDEWALK,,,IC,Invest Cont,440,,,,6TH                          ST,MAPLE,34.0439,-118.2479
200105687,01/25/2020 12:00:00 AM,01/24/2020 12:00:00 AM,2045,1,Central,162,1,310,BURGLARY,0344 1822,0,M,O,722,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,,,IC,Invest Cont,310,,,,800 S  GRAND                        AV,,34.0459,-118.2579
200105688,01/24/2020 12:00:00 AM,01/24/2020 12:00:00 AM,1930,1,Central,138,2,900,VIOLATION OF COURT ORDER,1501,50,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,900,,,,400 E  4TH                          ST,,34.0468,-118.2415
200105690,01/25/2020 12:00:00 AM,01/17/2020 12:00:00 AM,1730,1,Central,176,1,310,BURGLARY,0344 1414 1822,65,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,998.0,,,800    SANTEE                       ST,,34.0413,-118.2517
200105692,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,730,1,Central,158,2,762,LEWD CONDUCT,1218 1414 0340 0528,53,F,H,102,SIDEWALK,,,IC,Invest Cont,762,,,,500    CERES                        AV,,34.0416,-118.2398
200105693,01/25/2020 12:00:00 AM,01/24/2020 12:00:00 AM,1500,1,Central,111,1,330,BURGLARY FROM VEHICLE,1202 1822 1609 1307 0344 0329,79,M,H,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,600 N  GRAND                        AV,,34.0606,-118.2439
200105695,01/25/2020 12:00:00 AM,01/24/2020 12:00:00 AM,1610,1,Central,146,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 2028 1822,52,M,B,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,200    WINSTON                      ST,,34.0467,-118.247
210716708,12/13/2021 12:00:00 AM,05/01/2020 12:00:00 AM,800,7,Wilshire,723,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1803 0601 0913,38,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,668,,,,8200    BEVERLY                      BL,,34.0761,-118.3685
200105697,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,1100,1,Central,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 2004,23,M,H,406,OTHER STORE,,,IC,Invest Cont,442,,,,700 W  7TH                          ST,,34.048,-118.2577
200105699,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,1430,1,Central,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 2004 0378,20,F,H,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,700 W  7TH                          ST,,34.048,-118.2577
200105700,01/25/2020 12:00:00 AM,01/22/2020 12:00:00 AM,1900,1,Central,111,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,600 N  BROADWAY,,34.0586,-118.2402
200105701,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,1250,1,Central,157,1,210,ROBBERY,1414 1402 1218 0344 0416 0913 1313,50,M,B,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,998.0,,,7TH,SAN PEDRO,34.0401,-118.2459
200105705,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,1630,1,Central,163,1,210,ROBBERY,1822 0945 0378 0344 0443 0444 2004,32,M,B,403,DRUG STORE,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,,,,200 W  7TH                          ST,,34.0445,-118.2523
200105706,01/25/2020 12:00:00 AM,01/16/2020 12:00:00 AM,1400,1,Central,152,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,27,F,B,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440,,,,700 W  7TH                          ST,,34.0491,-118.2558
200105707,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,1730,1,Central,155,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,26,M,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,200 E  6TH                          ST,,34.0448,-118.2474
200105708,01/25/2020 12:00:00 AM,01/24/2020 12:00:00 AM,2000,1,Central,118,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,44,F,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,BLOOM,MAGDALENA,34.0643,-118.2306
200105709,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,1040,1,Central,181,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,29,M,O,713,CONVENTION CENTER,,,IC,Invest Cont,341,,,,1200 S  FIGUEROA                     ST,,34.0431,-118.2692
200105710,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,100,1,Central,138,1,330,BURGLARY FROM VEHICLE,0344 1609 0321,28,F,H,101,STREET,,,IC,Invest Cont,330,,,,3RD                          ST,CENTRAL                      AV,34.0461,-118.2395
200105713,01/25/2020 12:00:00 AM,01/24/2020 12:00:00 AM,2230,1,Central,118,1,330,BURGLARY FROM VEHICLE,1302 1307 0344,25,F,H,101,STREET,,,IC,Invest Cont,330,,,,1200 N  SPRING                       ST,,34.0635,-118.2356
200105714,01/26/2020 12:00:00 AM,01/25/2020 12:00:00 AM,900,1,Central,101,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1309,19,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,1000    EVERETT                      PL,,34.0693,-118.2488
200105715,01/26/2020 12:00:00 AM,01/25/2020 12:00:00 AM,2114,1,Central,182,1,210,ROBBERY,0340 0334 0302 0355 0344 0377 1822,25,M,W,102,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,210,,,,GRAND,PICO,34.0389,-118.2643
200309004,03/24/2020 12:00:00 AM,03/08/2020 12:00:00 AM,1,3,Southwest,335,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1309,19,X,X,222,LAUNDROMAT,,,IC,Invest Cont,740,,,,2800 W  JEFFERSON                    BL,,34.0276,-118.3229
200105718,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,2040,1,Central,191,2,237,CHILD NEGLECT (SEE 300 W.I.C.),0553 1257 2001,94,M,H,108,PARKING LOT,,,AO,Adult Other,237,,,,1700 S  FIGUEROA                     ST,,34.0388,-118.2717
200105720,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,1700,1,Central,185,2,624,BATTERY - SIMPLE ASSAULT,1822 1218 0416 0417 2002 0319 0445,37,F,B,103,ALLEY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1100    SANTEE                       ST,,34.0378,-118.2561
200105721,01/26/2020 12:00:00 AM,01/26/2020 12:00:00 AM,100,1,Central,154,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 0445 2002 1206 1822 0416 1234,37,M,H,102,SIDEWALK,207.0,OTHER KNIFE,IC,Invest Cont,230,,,,100 W  5TH                          ST,,34.0467,-118.2485
200105723,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,1820,1,Central,153,2,624,BATTERY - SIMPLE ASSAULT,0444 1822 0421 1266,47,M,B,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6TH,SPRING,34.0463,-118.2515
200105724,01/26/2020 12:00:00 AM,01/26/2020 12:00:00 AM,345,1,Central,162,1,761,BRANDISH WEAPON,0334 1822,36,M,A,203,OTHER BUSINESS,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,761,,,,500 W  7TH                          ST,,34.0467,-118.2556
200105725,01/26/2020 12:00:00 AM,01/26/2020 12:00:00 AM,125,1,Central,171,2,624,BATTERY - SIMPLE ASSAULT,0416 0429 1822,26,F,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,800 W  OLYMPIC                      BL,,34.045,-118.264
200105726,01/26/2020 12:00:00 AM,01/26/2020 12:00:00 AM,125,1,Central,171,2,624,BATTERY - SIMPLE ASSAULT,0416 1822 0344,23,F,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,800 W  OLYMPIC                      BL,,34.045,-118.264
200105727,01/26/2020 12:00:00 AM,01/26/2020 12:00:00 AM,125,1,Central,171,2,624,BATTERY - SIMPLE ASSAULT,0416 1822 0344,22,F,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,800 W  OLYMPIC                      BL,,34.045,-118.264
200105728,01/26/2020 12:00:00 AM,01/26/2020 12:00:00 AM,125,1,Central,171,2,624,BATTERY - SIMPLE ASSAULT,0416 1822 0344,23,F,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,800 W  OLYMPIC                      BL,,34.045,-118.264
200105731,01/26/2020 12:00:00 AM,01/26/2020 12:00:00 AM,215,1,Central,155,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2004 1822 1218,42,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,500    MAPLE                        AV,,34.0454,-118.2466
200105732,01/26/2020 12:00:00 AM,01/25/2020 12:00:00 AM,2100,1,Central,118,1,310,BURGLARY,0344 1609 1822,0,X,X,702,OFFICE BUILDING/OFFICE,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,1400 N  MAIN                         ST,,34.0648,-118.2313
200105734,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,650,1,Central,181,2,624,BATTERY - SIMPLE ASSAULT,1822 0444,57,M,H,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,LA LIVE                      WY,PICO,34.0424,-118.2718
200105735,01/26/2020 12:00:00 AM,01/26/2020 12:00:00 AM,522,1,Central,127,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0913 1420,0,X,X,753,DETENTION/JAIL FACILITY,,,AA,Adult Arrest,740,,,,100 N  LOS ANGELES                  ST,,34.0515,-118.2424
200105736,01/26/2020 12:00:00 AM,01/26/2020 12:00:00 AM,740,1,Central,119,2,624,BATTERY - SIMPLE ASSAULT,0416 0429 0910 2047 0448 2048 1822,50,F,B,966,MTA - GOLD LINE - UNION STATION,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,ALAMEDA,VIGNES,34.0577,-118.2318
200105737,01/26/2020 12:00:00 AM,01/25/2020 12:00:00 AM,2133,1,Central,144,1,330,BURGLARY FROM VEHICLE,0344 1609 1307 0329 1822,55,M,W,108,PARKING LOT,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,400 S  MAIN                         ST,,34.0478,-118.2484
200105738,01/25/2020 12:00:00 AM,01/22/2020 12:00:00 AM,1800,1,Central,153,1,330,BURGLARY FROM VEHICLE,0344 1609 1307 0329 1822,62,F,W,101,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,6TH                          ST,HILL                         ST,34.0474,-118.2531
200105739,01/26/2020 12:00:00 AM,01/12/2020 12:00:00 AM,2000,1,Central,105,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913 2004 1218 0416 0421 1206,44,M,H,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,930,,,,BISHOPS                      ST,SAVOY                        ST,34.0699,-118.2341
